seg_id,pci,pci_desc
SS-000351-PV1,89.2,Good
SS-000352-PV1,95,Good
SS-000353-PV1,94.3,Good
SS-000354-PV1,91.85,Good
SS-000357-PV1,,
SS-000358-PV1,30.54,Very Poor
SS-000359-PV1,28.2,Very Poor
SS-000360-PV1,30.49,Very Poor
SS-000361-PV1,97.2,Good
SS-000362-PV1,96,Good
SS-000363-PV1,96,Good
SS-000364-PV1,96,Good
SS-000367-PV1,70.19,Satisfactory
SS-000369-PV1,85.22,Good
SS-000370-PV1,28.71,Very Poor
SS-000371-PV1,96,Good
SS-000372-PV1,95.57,Good
SS-000373-PV1,96.98,Good
SS-000374-PV1,93.54,Good
SS-000375-PV1,93,Good
SS-000376-PV1,89.03,Good
SS-000377-PV1,92.16,Good
SS-000378-PV1,69.66,Fair
SS-000379-PV1,47.81,Poor
SS-000380-PV1,78.28,Satisfactory
SS-000381-PV1,45.23,Poor
SS-000382-PV1,47.57,Poor
SS-000383-PV1,84.86,Satisfactory
SS-000386-PV1,33.41,Very Poor
SS-000387-PV1,47.53,Poor
SS-000388-PV1,62.76,Fair
SS-000390-PV1,25.88,Very Poor
SS-000393-PV1,94.38,Good
SS-000394-PV1,72.56,Satisfactory
SS-000395-PV1,59.06,Fair
SS-000396-PV1,42.19,Poor
SS-000399-PV1,93.97,Good
SS-000400-PV1,73.58,Satisfactory
SS-000401-PV1,47.83,Poor
SS-000402-PV1,23.72,Serious
SS-000403-PV1,,
SS-000405-PV1,58.83,Fair
SS-000406-PV1,38.26,Very Poor
SS-000407-PV1,50.35,Poor
SS-000408-PV1,49,Poor
SS-000409-PV1,60.01,Fair
SS-000410-PV1,52.49,Poor
SS-000411-PV1,90.14,Good
SS-000412-PV1,92.48,Good
SS-000414-PV1,69.63,Fair
SS-000415-PV1,56.38,Fair
SS-000416-PV1,53.98,Poor
SS-000417-PV1,74.39,Satisfactory
SS-000418-PV1,49.33,Poor
SS-000419-PV1,49.42,Poor
SS-000420-PV1,37.85,Very Poor
SS-000421-PV1,54.94,Poor
SS-000422-PV1,48.65,Poor
SS-000424-PV1,52.02,Poor
SS-000425-PV1,23.38,Serious
SS-000426-PV1,52.51,Poor
SS-000427-PV1,69.16,Fair
SS-000428-PV1,84.84,Satisfactory
SS-000429-PV1,100,Good
SS-000430-PV1,100,Good
SS-000431-PV1,63,Fair
SS-000432-PV1,29.48,Very Poor
SS-000433-PV1,37.74,Very Poor
SS-000434-PV1,50.19,Poor
SS-000435-PV1,66.37,Fair
SS-000436-PV1,92.09,Good
SS-000437-PV1,79.6,Satisfactory
SS-000438-PV1,78.68,Satisfactory
SS-000439-PV1,94.44,Good
SS-000440-PV1,99.5,Good
SS-000441-PV1,95.45,Good
SS-000442-PV1,98.83,Good
SS-000444-PV1,63.15,Fair
SS-000445-PV1,75.4,Satisfactory
SS-000446-PV1,53.25,Poor
SS-000447-PV1,23.23,Serious
SS-000448-PV1,31.82,Very Poor
SS-000449-PV1,100,Good
SS-000450-PV1,41.01,Poor
SS-000451-PV1,100,Good
SS-000452-PV1,39.47,Very Poor
SS-000453-PV1,100,Good
SS-000454-PV1,20.02,Serious
SS-000455-PV1,31.12,Very Poor
SS-000456-PV1,46.35,Poor
SS-000457-PV1,39.92,Very Poor
SS-000458-PV1,21.16,Serious
SS-000459-PV1,48.73,Poor
SS-000460-PV1,100,Good
SS-000461-PV1,33.74,Very Poor
SS-000462-PV1,10.97,Serious
SS-000463-PV1,32.5,Very Poor
SS-000464-PV1,44.92,Poor
SS-000465-PV1,0,Failed
SS-000466-PV1,74,Satisfactory
SS-000467-PV1,70.61,Satisfactory
SS-000468-PV1,66.63,Fair
SS-000469-PV1,50.86,Poor
SS-000470-PV1,100,Good
SS-000471-PV1,100,Good
SS-000472-PV1,14.7,Serious
SS-000473-PV1,23.08,Serious
SS-000474-PV1,25.53,Very Poor
SS-000475-PV1,19.41,Serious
SS-000476-PV1,84.6,Satisfactory
SS-000477-PV1,21.18,Serious
SS-000478-PV1,21.23,Serious
SS-000479-PV1,24.36,Serious
SS-000480-PV1,26.18,Very Poor
SS-000481-PV1,25.8,Very Poor
SS-000482-PV1,10.71,Serious
SS-000483-PV1,11.54,Serious
SS-000484-PV1,100,Good
SS-000485-PV1,13.8,Serious
SS-000486-PV1,100,Good
SS-000487-PV1,40.71,Poor
SS-000488-PV1,14.99,Serious
SS-000489-PV1,34.41,Very Poor
SS-000491-PV1,76.31,Satisfactory
SS-000492-PV1,45.7,Poor
SS-000493-PV1,80.97,Satisfactory
SS-000494-PV1,47.63,Poor
SS-000495-PV1,79.41,Satisfactory
SS-000496-PV1,93.97,Good
SS-000497-PV1,92.45,Good
SS-000498-PV1,51.93,Poor
SS-000500-PV1,0.81,Failed
SS-000501-PV1,15.35,Serious
SS-000504-PV1,9,Failed
SS-000505-PV1,54.25,Poor
SS-000506-PV1,56,Fair
SS-000507-PV1,55.45,Fair
SS-000508-PV1,84.17,Satisfactory
SS-000509-PV1,60.06,Fair
SS-000510-PV1,97.2,Good
SS-000511-PV1,0,Failed
SS-000512-PV1,0,Failed
SS-000513-PV1,1.97,Failed
SS-000514-PV1,32.59,Very Poor
SS-000515-PV1,26.41,Very Poor
SS-000516-PV1,97,Good
SS-000517-PV1,60,Fair
SS-000518-PV1,77.3,Satisfactory
SS-000519-PV1,97.2,Good
SS-000520-PV1,97.2,Good
SS-000521-PV1,97.2,Good
SS-000522-PV1,99.86,Good
SS-000523-PV1,89.75,Good
SS-000524-PV1,83.24,Satisfactory
SS-000525-PV1,69.89,Fair
SS-000526-PV1,69.68,Fair
