iamfloc,total_crashes,injured,killed,avg_pci,pav_length,traffic_count,crashes_per_mile,cluster_id,gi_star,is_hotspot,is_coldspot
SS-029656-PV1,1.0,2.0,0.0,83.0906462498892,588.3866,,8.973691786998549,,-0.23905949139962268,False,False
SS-029657-PV1,0.0,0.0,0.0,79.57894599941791,258.8746,,0.0,,-0.20771011974464737,False,False
SS-029658-PV1,0.0,0.0,0.0,82.6505699379665,408.8424,,0.0,,-0.17636074808967203,False,False
SS-029659-PV1,1.0,1.0,0.0,80.72655034849652,352.6214,,14.973566550413558,,-0.11366200477972133,False,False
SS-029660-PV1,0.0,0.0,0.0,99.43830641667967,309.8743,,0.0,,0.04308485349515536,False,False
SS-029661-PV1,0.0,0.0,0.0,83.42651041711896,287.8125,,0.0,,-0.11366200477972137,False,False
SS-029662-PV1,2.0,2.0,0.0,76.86282332154501,581.5572,,18.158145062944797,,-0.27040886305459805,False,False
SS-029663-PV1,1.0,0.0,0.0,80.99604371574175,911.8008,,5.790738503409956,,-0.22338480557213505,False,False
SS-029664-PV1,0.0,0.0,0.0,78.80005832015395,409.2065,,0.0,,-0.23905949139962268,False,False
SS-029666-PV1,1.0,1.0,0.0,87.283184107728,409.7402,,12.886214240145339,,-0.2860835488820857,False,False
SS-029667-PV1,0.0,0.0,0.0,87.57479336034201,253.511,,0.0,,-0.27040886305459805,False,False
SS-029668-PV1,1.0,0.0,0.0,82.96438074311743,326.063,,16.193189659667,,-0.08231263312474603,False,False
SS-029670-PV1,1.0,0.0,0.0,97.70022904050751,236.244,,22.349773962513332,,-0.27040886305459805,False,False
SS-029671-PV1,0.0,0.0,0.0,87.61093112044915,486.2872,,0.0,,-0.23905949139962268,False,False
SS-029672-PV1,4.0,2.0,0.0,73.87020873194244,652.0383,,32.390735329504416,,-0.2547341772271104,False,False
SS-029673-PV1,2.0,2.0,0.0,71.96947204712623,293.3311,,36.00027409299594,,-0.22338480557213505,False,False
SS-029674-PV1,0.0,0.0,0.0,72.70190488879106,393.0816,,0.0,,-0.2547341772271104,False,False
SS-029675-PV1,1.0,1.0,0.0,81.88869754552653,845.0,,6.2485207100591715,,-0.2860835488820857,False,False
SS-029676-PV1,1.0,0.0,0.0,72.31464564510823,653.1501,,8.083899857016021,,-0.1450113764346967,False,False
SS-029677-PV1,0.0,0.0,0.0,61.62955611051458,354.0127,,0.0,,0.16848234011505675,False,False
SS-029678-PV1,2.0,1.0,0.0,82.74701579253089,318.0393,,33.20344372535092,,0.011735481840179996,False,False
SS-029679-PV1,0.0,0.0,0.0,73.04830958036422,663.0068,,0.0,,-0.19203543391715971,False,False
SS-029680-PV1,0.0,0.0,0.0,64.71953285827395,254.0018,,0.0,,-0.2547341772271104,False,False
SS-029681-PV1,0.0,0.0,0.0,63.986705485477664,254.0494,,0.0,,-0.2547341772271104,False,False
SS-029682-PV1,0.0,0.0,0.0,20.49788202692003,296.0018,,0.0,,-0.17636074808967203,False,False
SS-029683-PV1,0.0,0.0,0.0,16.634061757719714,306.0066,,0.0,,-0.2077101197446474,False,False
SS-029685-PV1,4.0,3.0,0.0,43.11956254948535,432.9303,,48.783834256923114,,-0.23905949139962268,False,False
SS-029686-PV1,0.0,0.0,0.0,47.93356096595407,518.1389,,0.0,,0.011735481840179996,False,False
SS-029687-PV1,6.0,5.0,0.0,93.80354937017995,691.4647,,45.815787848606014,0.0,-0.23905949139962268,False,False
SS-029688-PV1,8.0,6.0,0.0,94.3559989862026,488.9729,,86.38515549634755,0.0,-0.05096326146977067,False,False
SS-029689-PV1,7.0,10.0,0.0,93.07227213278583,533.7446,,69.24660221386783,0.0,-0.129336690607209,False,False
SS-029691-PV1,1.0,1.0,0.0,94.70088082741904,686.0249,,7.696513639665265,,-0.14501137643469666,False,False
SS-029692-PV1,4.0,4.0,0.0,86.74223266066338,992.0643,,21.288942662285095,,-0.23905949139962268,False,False
SS-029693-PV1,3.0,6.0,0.0,90.43769690494857,399.086,,39.69069323403978,,0.32522919838993336,False,False
SS-029694-PV1,19.0,21.0,0.0,92.6443631816469,477.3159,,210.17527385951317,0.0,0.18415702594254443,False,False
SS-029695-PV1,8.0,5.0,0.0,78.19219305167536,770.0,,54.857142857142854,0.0,0.5603494858022484,False,False
SS-029696-PV1,0.0,0.0,0.0,57.16392280224779,259.0,,0.0,,0.13713296846008138,False,False
SS-029697-PV1,9.0,9.0,0.0,49.681448904603684,498.0,,95.42168674698796,0.0,-0.19203543391715971,False,False
SS-029698-PV1,6.0,12.0,2.0,51.786395206744835,907.0,,34.92833517089306,0.0,-0.2077101197446474,False,False
SS-029699-PV1,6.0,13.0,0.0,65.98389608889468,648.2717,,48.86839885190114,0.0,-0.11366200477972137,False,False
